Code,CPU,RAM_ROM,Grade
MT6761V,MediaTek Helio A22,2GB/32GB,A
CX90B8CAM,Snapdragon 662,4GB/64GB,B
SM-A125F,Exynos 850,4GB/64GB,B
MT6765G,MediaTek Helio P35,3GB/32GB,C
MT6739V,MediaTek MT6739,2GB/16GB,C
MT6762V,MediaTek Helio P22,3GB/32GB,B
MT6768V,MediaTek Helio P65,4GB/64GB,A
MT6769V,MediaTek Helio G80,4GB/64GB,A
MT6781V,MediaTek Helio G96,6GB/128GB,A
MT6833V,MediaTek Dimensity 700,4GB/64GB,A
MT6877V,MediaTek Dimensity 900,6GB/128GB,A
SDM439,Snapdragon 439,3GB/32GB,B
SDM660,Snapdragon 660,4GB/64GB,A
SM6115,Snapdragon 662,4GB/64GB,A
SM6225,Snapdragon 680,6GB/128GB,A
SM7125,Snapdragon 720G,6GB/128GB,A
SM7225,Snapdragon 750G,6GB/128GB,A
SM8250,Snapdragon 865,8GB/128GB,A
KLMAG4FE4B-B002,Samsung eMMC,2GB/16GB,C
KLMAG2GEAC-B001,Samsung eMMC 5.0,2GB/16GB,C
KMQ820013M-B419,Samsung eMCP,2GB/16GB,C
KMQE10013M-B318,Samsung eMCP,2GB/16GB,C
KMR21000BM-B614,Samsung eMCP,2GB/16GB,C
KLMBG8FE4B-B001,Samsung eMMC 5.1,3GB/32GB,B
KLMCG4JENB-B041,Samsung eMMC 5.1,3GB/32GB,B
KMV2W000LM-B506,Samsung eMMC 5.0,3GB/32GB,B
KMRX1000BM-B614,Samsung eMCP,3GB/32GB,B
KMGD6001BM-B421,Samsung eMCP,3GB/32GB,B
KMDH6001DM-B422,Samsung eMCP,3GB/32GB,B
KLMCGAFE4B-B001,Samsung eMMC 5.1,4GB/64GB,A
KLMCG8GEAC-B001,Samsung eMMC 5.1,4GB/64GB,A
KLUDG8V1EE-B0C1,Samsung UFS 2.1,4GB/64GB,A
KM3H6001CA-B515,Samsung uMCP,4GB/64GB,A
KM2V7001CM-B707,Samsung uMCP,4GB/64GB,A
KLMDG8JENB-B041,Samsung eMMC 5.1,6GB/128GB,A
KMD3X000HM-B418,Samsung eMCP,6GB/128GB,A
KLUEG8UHDB-B0D1,Samsung UFS 3.1,6GB/128GB,A
KM8V7001JM-B813,Samsung uMCP,6GB/128GB,A
KLMEGSUCTA-B041,Samsung eMMC 5.1,8GB/256GB,A
KLUFG8RHDA-B0D1,Samsung UFS 3.1,8GB/256GB,A
H9TP32A4GDBCPR,SKhynix eMCP,1GB/8GB,D
H9TP32A8JDACPR,SKhynix eMCP,2GB/16GB,C
H9TQ17ABTBC,SKhynix eMCP,3GB/32GB,B
H9HQ16AFAMMDAR,SKhynix eMCP,3GB/32GB,B
H9HP16AECMMDAR,SKhynix eMCP,3GB/32GB,B
H9TQ17ABJTACUR,SKhynix eMCP,3GB/32GB,B
H9TQ26ACLTMCUR,SKhynix eMCP,3GB/32GB,B
H9TQ64A8GTMCUR,SKhynix eMCP,4GB/64GB,A
H9HQ64A8RDACAR,SKhynix UFS,4GB/64GB,A
H9HP52ACPMMDAR,SKhynix uMCP,4GB/64GB,A
HN5T25DEHKX077,SKhynix UFS 2.2,6GB/128GB,A
H9HCNNNCPMALAR,SKhynix LPDDR4X,6GB/128GB,A
H9HP15AECMMDAR,SKhynix eMCP,6GB/128GB,A
SDIN9DW4-16G,SanDisk eMMC,2GB/16GB,C
SDIN9DW4-32G,SanDisk eMMC 5.1,3GB/32GB,B
SDINADF4-32G,SanDisk eMMC 5.1,3GB/32GB,B
SDINDDH4-32G,SanDisk eMMC 5.1,3GB/32GB,B
SDINBDG4-32G,SanDisk eMMC,3GB/32GB,B
SDIN9DW5-64G,SanDisk eMMC 5.1,4GB/64GB,A
SDINADF4-64G,SanDisk eMMC 5.1,4GB/64GB,A
SDINBDA4-64G,SanDisk eMMC 5.1,4GB/64GB,A
SDINCE4-64G,SanDisk UFS 2.1,4GB/64GB,A
SDINADF4-128G,SanDisk eMMC 5.1,6GB/128GB,A
SDINFDO4-128G,SanDisk eMMC,6GB/128GB,A
SDINDDH4-128G,SanDisk eMMC,6GB/128GB,A
SDEQF128G,SanDisk UFS 2.1,6GB/128GB,A
MTFC8GAKAJCN-4M,Micron eMMC 5.0,1GB/8GB,D
MTFC16GAKAECN-4M,Micron eMMC,2GB/16GB,C
MTFC32GAKAECN-4M,Micron eMMC,3GB/32GB,B
MT29FZ4B7FCADK,Micron eMCP,3GB/32GB,B
MTFC64GAKAECN-4M,Micron eMMC 5.1,4GB/64GB,A
MTFC128GAKAECE-4M,Micron eMMC,6GB/128GB,A
MT53E1G32D2FW,Micron LPDDR4,6GB/128GB,A
THGBM4G8D4LBAIR,Toshiba eMMC,3GB/32GB,B
THGBMHG8C2LBAIL,Toshiba eMMC,4GB/64GB,A
THGBMHT1C8LBAIG,Toshiba eMMC,6GB/128GB,A
THGAF8G9T4MBIR,Kioxia UFS 2.1,6GB/128GB,A
KLMAG1JETD-B041,Samsung eMMC,2GB/16GB,C
KLMBG2JETD-B041,Samsung eMMC,3GB/32GB,B
KLMCG2KECB-B041,Samsung eMMC 5.1,4GB/64GB,A
KLMDG2UCTA-B041,Samsung eMMC,6GB/128GB,A
KLUCG4JEDD-B0C1,Samsung UFS 2.1,4GB/64GB,A
KLUAG2KETD-B081,Samsung UFS 2.1,3GB/32GB,B
KLU2G6JEAB-B0E1,Samsung UFS 3.1,8GB/128GB,A
KLU4G8JEDD-B0E1,Samsung UFS 3.1,12GB/256GB,A
KLUGG8UHDB-B0D1,Samsung UFS 3.1,16GB/512GB,A
KMQ31000SM-B417,Samsung eMCP,2GB/16GB,C
KMQ8X000SA-B414,Samsung eMCP,3GB/32GB,B
KMRH6001DM-B512,Samsung eMCP,3GB/32GB,B
KPD1X000HA-B418,Samsung uMCP,4GB/64GB,A
KM8X7001CM-B810,Samsung uMCP,8GB/256GB,A
H9TP32A4GDCCPR,SKhynix eMCP,1GB/8GB,D
H9TP64A8JDACPR,SKhynix eMCP,2GB/16GB,C
H9TQ17ADFTMCUR,SKhynix eMCP,3GB/32GB,B
H9TQ18ABJTACUR,SKhynix eMCP,4GB/64GB,A
H9TQ52ACPMMDAR,SKhynix uMCP,4GB/64GB,A
HN8T05BZHKX015,SKhynix UFS 2.2,6GB/128GB,A
HN8T15BZHKX022,SKhynix UFS 2.2,8GB/256GB,A
HN8T25BZHKX035,SKhynix UFS 3.1,8GB/256GB,A
SDIN8DE4-16G,SanDisk eMMC,2GB/16GB,C
SDIN8DE4-32G,SanDisk eMMC,3GB/32GB,B
SDEQU256G,SanDisk UFS 3.1,8GB/256GB,A
SDEXT512G,SanDisk UFS 3.1,12GB/512GB,A
MT53E2G32D4DT,Micron LPDDR5,8GB/256GB,A
MT29F1T00GBLCE,Micron UFS 3.1,12GB/256GB,A
THGBMDG5D1LBAIL,Toshiba eMMC,1GB/8GB,D
THGBMHG6C1LBAIL,Toshiba eMMC,2GB/16GB,C
THGAF8T0T4LBIR,Kioxia UFS 3.1,8GB/256GB,A
THGAF8T1T8LBIR,Kioxia UFS 3.1,12GB/512GB,A
MT6580V,MediaTek MT6580 3G,1GB/8GB,D
MT6735V,MediaTek MT6735,2GB/16GB,C
MT6750V,MediaTek MT6750,3GB/32GB,B
MT6755V,MediaTek Helio P10,3GB/32GB,B
MT6757V,MediaTek Helio P20,4GB/64GB,A
MT6763V,MediaTek Helio P23,4GB/64GB,A
MT6771V,MediaTek Helio P60,4GB/64GB,A
MT6779V,MediaTek Helio P90,6GB/128GB,A
MT6853V,MediaTek Dimensity 720,6GB/128GB,A
MT6873V,MediaTek Dimensity 800,6GB/128GB,A
MT6885V,MediaTek Dimensity 1000+,8GB/256GB,A
MT6893V,MediaTek Dimensity 1200 5G,8GB/256GB,A
MT6983V,MediaTek Dimensity 9000 5G,12GB/256GB,A
MSM8916,Snapdragon 410,1GB/8GB,D
MSM8937,Snapdragon 430,2GB/16GB,C
SDM450,Snapdragon 450,3GB/32GB,B
SDM636,Snapdragon 636,4GB/64GB,A
SDM675,Snapdragon 675,6GB/128GB,A
SDM710,Snapdragon 710,6GB/128GB,A
SM6125,Snapdragon 665,4GB/64GB,A
SM6375,Snapdragon 695 5G,6GB/128GB,A
SM7150,Snapdragon 730G,6GB/128GB,A
SM7325,Snapdragon 778G 5G,8GB/128GB,A
SM8150,Snapdragon 855,8GB/128GB,A
SM8350,Snapdragon 888 5G,8GB/256GB,A
SM8450,Snapdragon 8 Gen 1,12GB/256GB,A
SM8550,Snapdragon 8 Gen 2,12GB/512GB,A
Exynos7870,Exynos 7870,2GB/16GB,C
Exynos7884,Exynos 7884,3GB/32GB,B
Exynos7904,Exynos 7904,4GB/64GB,A
Exynos9611,Exynos 9611,6GB/128GB,A
Exynos9820,Exynos 9820,8GB/128GB,A
Exynos1280,Exynos 1280 5G,6GB/128GB,A
Exynos1380,Exynos 1380 5G,8GB/256GB,A
SPD7731E,Spreadtrum SC7731E 3G,1GB/8GB,D
